Unnamed: 0,Name,Age,Photo,Nationality,Flag,Overall,Potential,Club,Club Logo,Value,Wage,Special,Acceleration,Aggression,Agility,Balance,Ball control,Composure,Crossing,Curve,Dribbling,Finishing,Free kick accuracy,GK diving,GK handling,GK kicking,GK positioning,GK reflexes,Heading accuracy,Interceptions,Jumping,Long passing,Long shots,Marking,Penalties,Positioning,Reactions,Short passing,Shot power,Sliding tackle,Sprint speed,Stamina,Standing tackle,Strength,Vision,Volleys,CAM,CB,CDM,CF,CM,ID,LAM,LB,LCB,LCM,LDM,LF,LM,LS,LW,LWB,Preferred Positions,RAM,RB,RCB,RCM,RDM,RF,RM,RS,RW,RWB,ST
48,Isco,25,https://cdn.sofifa.org/48/18/players/197781.png,Spain,https://cdn.sofifa.org/flags/45.png,86,90,Real Madrid CF,https://cdn.sofifa.org/24/18/teams/243.png,€56.5M,€250K,2105,74,58,83,85,91,86,72,86,90,88,74,10,8,12,15,6,55,70,64,85,87,25,76,83,79,86,72,51,69,71,73,59,84,64,85.0,61.0,71.0,84.0,84.0,197781,85.0,67.0,61.0,84.0,71.0,84.0,82.0,79.0,83.0,70.0,LM RM CAM CM ,85.0,67.0,61.0,84.0,71.0,84.0,82.0,79.0,83.0,70.0,79.0
49,D. Alaba,25,https://cdn.sofifa.org/48/18/players/197445.png,Austria,https://cdn.sofifa.org/flags/4.png,86,88,FC Bayern Munich,https://cdn.sofifa.org/24/18/teams/21.png,€44.5M,€150K,2278,86,69,79,77,83,79,82,78,79,63,85,5,7,14,15,9,75,85,82,80,83,81,80,77,84,83,83,83,86,87,83,69,78,68,80.0,80.0,82.0,79.0,81.0,197445,80.0,83.0,80.0,81.0,82.0,79.0,81.0,77.0,80.0,84.0,CM CB LB ,80.0,83.0,80.0,81.0,82.0,79.0,81.0,77.0,80.0,84.0,77.0
50,R. Lukaku,24,https://cdn.sofifa.org/48/18/players/192505.png,Belgium,https://cdn.sofifa.org/flags/7.png,86,90,Manchester United,https://cdn.sofifa.org/24/18/teams/11.png,€59M,€210K,1997,76,72,62,47,75,84,68,72,77,89,66,8,15,14,7,10,87,27,71,68,75,27,82,87,85,71,88,30,89,80,30,93,73,76,77.0,53.0,57.0,80.0,71.0,192505,77.0,56.0,53.0,71.0,57.0,80.0,77.0,84.0,78.0,58.0,ST ,77.0,56.0,53.0,71.0,57.0,80.0,77.0,84.0,78.0,58.0,84.0
51,Alex Sandro,26,https://cdn.sofifa.org/48/18/players/191043.png,Brazil,https://cdn.sofifa.org/flags/54.png,86,88,Juventus,https://cdn.sofifa.org/24/18/teams/45.png,€44M,€175K,2207,84,82,79,79,81,82,86,78,82,55,59,7,7,9,12,5,76,82,79,71,72,78,60,70,86,81,80,84,88,93,84,80,70,68,77.0,81.0,81.0,76.0,78.0,191043,77.0,84.0,81.0,78.0,81.0,76.0,80.0,75.0,78.0,84.0,LM LB ,77.0,84.0,81.0,78.0,81.0,76.0,80.0,75.0,78.0,84.0,75.0
52,T. Müller,27,https://cdn.sofifa.org/48/18/players/189596.png,Germany,https://cdn.sofifa.org/flags/21.png,86,86,FC Bayern Munich,https://cdn.sofifa.org/24/18/teams/21.png,€47.5M,€190K,2078,76,57,76,72,82,83,77,81,75,87,59,6,7,11,14,14,82,58,81,68,77,31,60,93,92,81,77,44,78,90,41,67,81,83,81.0,58.0,65.0,83.0,78.0,189596,81.0,66.0,58.0,78.0,65.0,83.0,81.0,83.0,81.0,68.0,ST CAM RW CF ,81.0,66.0,58.0,78.0,65.0,83.0,81.0,83.0,81.0,68.0,83.0
53,Sergio Busquets,28,https://cdn.sofifa.org/48/18/players/189511.png,Spain,https://cdn.sofifa.org/flags/45.png,86,86,FC Barcelona,https://cdn.sofifa.org/24/18/teams/241.png,€36M,€250K,1998,48,85,58,55,80,88,62,66,74,60,68,5,8,13,9,13,68,86,66,79,54,81,60,77,82,88,61,80,34,88,85,77,84,44,75.0,80.0,83.0,72.0,81.0,189511,75.0,76.0,80.0,81.0,83.0,72.0,73.0,68.0,70.0,77.0,CM CDM ,75.0,76.0,80.0,81.0,83.0,72.0,73.0,68.0,70.0,77.0,68.0
54,Coutinho,25,https://cdn.sofifa.org/48/18/players/189242.png,Brazil,https://cdn.sofifa.org/flags/54.png,86,89,Liverpool,https://cdn.sofifa.org/24/18/teams/9.png,€56M,€205K,2049,88,55,92,92,88,85,77,84,88,74,82,12,7,9,14,6,47,30,59,78,86,24,64,83,81,85,80,40,77,80,44,61,87,75,85.0,49.0,61.0,83.0,79.0,189242,85.0,60.0,49.0,79.0,61.0,83.0,83.0,77.0,84.0,64.0,CAM LW ,85.0,60.0,49.0,79.0,61.0,83.0,83.0,77.0,84.0,64.0,77.0
55,M. Reus,28,https://cdn.sofifa.org/48/18/players/188350.png,Germany,https://cdn.sofifa.org/flags/21.png,86,86,Borussia Dortmund,https://cdn.sofifa.org/24/18/teams/22.png,€45M,€120K,2157,86,49,86,81,85,83,80,90,86,86,84,12,12,13,13,11,49,50,72,80,88,30,87,86,87,86,87,46,90,68,36,67,86,88,86.0,52.0,64.0,86.0,80.0,188350,86.0,63.0,52.0,80.0,64.0,86.0,84.0,82.0,86.0,67.0,LW ST LM ,86.0,63.0,52.0,80.0,64.0,86.0,84.0,82.0,86.0,67.0,82.0
56,T. Alderweireld,28,https://cdn.sofifa.org/48/18/players/184087.png,Belgium,https://cdn.sofifa.org/flags/7.png,86,87,Tottenham Hotspur,https://cdn.sofifa.org/24/18/teams/18.png,€40.5M,€165K,2047,62,81,60,50,70,81,64,63,62,45,69,16,6,14,16,14,82,84,81,81,66,89,60,56,86,77,86,85,69,76,90,82,67,38,67.0,84.0,81.0,67.0,74.0,184087,67.0,79.0,84.0,74.0,81.0,67.0,67.0,67.0,65.0,77.0,CB ,67.0,79.0,84.0,74.0,81.0,67.0,67.0,67.0,65.0,77.0,67.0
57,David Luiz,30,https://cdn.sofifa.org/48/18/players/179944.png,Brazil,https://cdn.sofifa.org/flags/54.png,86,86,Chelsea,https://cdn.sofifa.org/24/18/teams/5.png,€33M,€190K,2123,68,86,72,56,79,78,68,70,66,55,76,11,12,10,7,14,83,87,80,78,71,80,75,54,79,79,77,84,71,76,85,81,69,64,71.0,83.0,81.0,69.0,75.0,179944,71.0,79.0,83.0,75.0,81.0,69.0,70.0,69.0,69.0,78.0,CB ,71.0,79.0,83.0,75.0,81.0,69.0,70.0,69.0,69.0,78.0,69.0
58,Diego Costa,28,https://cdn.sofifa.org/48/18/players/179844.png,Spain,https://cdn.sofifa.org/flags/45.png,86,86,Chelsea,https://cdn.sofifa.org/24/18/teams/5.png,€46M,€235K,1984,74,93,58,52,83,84,65,62,77,88,59,11,13,12,8,11,83,40,64,52,73,28,76,88,86,67,84,34,75,83,39,91,74,81,76.0,57.0,60.0,80.0,71.0,179844,76.0,58.0,57.0,71.0,60.0,80.0,76.0,83.0,77.0,60.0,ST ,76.0,58.0,57.0,71.0,60.0,80.0,76.0,83.0,77.0,60.0,83.0
59,R. Nainggolan,29,https://cdn.sofifa.org/48/18/players/178518.png,Belgium,https://cdn.sofifa.org/flags/7.png,86,86,Roma,https://cdn.sofifa.org/24/18/teams/52.png,€42.5M,€130K,2286,80,88,81,84,85,85,73,73,80,76,68,11,11,14,8,11,59,86,76,81,86,78,63,88,87,84,84,88,76,94,86,76,76,75,82.0,81.0,84.0,82.0,84.0,178518,82.0,83.0,81.0,84.0,84.0,82.0,82.0,80.0,81.0,84.0,CAM CM ,82.0,83.0,81.0,84.0,84.0,82.0,82.0,80.0,81.0,84.0,80.0
60,Javi Martínez,28,https://cdn.sofifa.org/48/18/players/177610.png,Spain,https://cdn.sofifa.org/flags/45.png,86,86,FC Bayern Munich,https://cdn.sofifa.org/24/18/teams/21.png,€36M,€165K,1973,49,91,54,58,71,83,60,54,62,53,45,5,12,9,11,8,90,86,83,74,63,84,52,57,84,75,76,87,50,64,87,84,74,61,67.0,84.0,80.0,66.0,72.0,177610,67.0,76.0,84.0,72.0,80.0,66.0,65.0,67.0,63.0,74.0,CDM CB ,67.0,76.0,84.0,72.0,80.0,66.0,65.0,67.0,63.0,74.0,67.0
61,D. Mertens,30,https://cdn.sofifa.org/48/18/players/175943.png,Belgium,https://cdn.sofifa.org/flags/7.png,86,86,Napoli,https://cdn.sofifa.org/24/18/teams/48.png,€43M,€135K,2035,93,59,94,92,88,81,77,81,89,85,77,7,10,8,10,4,35,36,60,74,81,30,78,85,85,81,80,40,87,75,40,42,82,70,85.0,47.0,60.0,85.0,78.0,175943,85.0,60.0,47.0,78.0,60.0,85.0,84.0,78.0,86.0,65.0,ST LW CF ,85.0,60.0,47.0,78.0,60.0,85.0,84.0,78.0,86.0,65.0,78.0
62,Sokratis,29,https://cdn.sofifa.org/48/18/players/172879.png,Greece,https://cdn.sofifa.org/flags/22.png,86,86,Borussia Dortmund,https://cdn.sofifa.org/24/18/teams/22.png,€34.5M,€110K,1885,71,91,62,68,58,82,47,36,58,44,35,6,8,5,12,5,87,80,87,64,48,88,33,50,81,64,79,86,84,74,90,86,52,46,59.0,84.0,76.0,61.0,63.0,172879,59.0,77.0,84.0,63.0,76.0,61.0,61.0,64.0,59.0,73.0,CB ,59.0,77.0,84.0,63.0,76.0,61.0,61.0,64.0,59.0,73.0,64.0
63,Miranda,32,https://cdn.sofifa.org/48/18/players/168609.png,Brazil,https://cdn.sofifa.org/flags/54.png,86,86,Inter,https://cdn.sofifa.org/24/18/teams/44.png,€25.5M,€115K,1890,67,83,61,57,72,84,48,32,65,43,39,12,6,10,13,12,83,88,82,69,41,89,49,43,82,70,70,86,74,65,90,80,58,51,63.0,84.0,79.0,62.0,67.0,168609,63.0,77.0,84.0,67.0,79.0,62.0,63.0,63.0,61.0,75.0,CB ,63.0,77.0,84.0,67.0,79.0,62.0,63.0,63.0,61.0,75.0,63.0
64,K. Benzema,29,https://cdn.sofifa.org/48/18/players/165153.png,France,https://cdn.sofifa.org/flags/18.png,86,86,Real Madrid CF,https://cdn.sofifa.org/24/18/teams/243.png,€44.5M,€295K,1950,77,65,77,60,86,82,75,79,82,87,73,13,11,5,5,7,78,22,70,47,77,13,82,87,83,86,83,12,78,73,15,78,85,79,82.0,44.0,52.0,84.0,72.0,165153,82.0,51.0,44.0,72.0,52.0,84.0,80.0,83.0,83.0,56.0,ST ,82.0,51.0,44.0,72.0,52.0,84.0,80.0,83.0,83.0,56.0,83.0
65,Cesc Fàbregas,30,https://cdn.sofifa.org/48/18/players/162895.png,Spain,https://cdn.sofifa.org/flags/45.png,86,86,Chelsea,https://cdn.sofifa.org/24/18/teams/5.png,€41M,€210K,2118,65,45,65,77,86,92,85,77,80,76,81,6,10,8,15,15,74,50,68,90,75,60,80,78,81,91,77,62,62,80,63,64,91,81,82.0,64.0,72.0,80.0,83.0,162895,82.0,70.0,64.0,83.0,72.0,80.0,81.0,77.0,80.0,72.0,CAM CDM CM ,82.0,70.0,64.0,83.0,72.0,80.0,81.0,77.0,80.0,72.0,77.0
66,F. Ribéry,34,https://cdn.sofifa.org/48/18/players/156616.png,France,https://cdn.sofifa.org/flags/18.png,86,86,FC Bayern Munich,https://cdn.sofifa.org/24/18/teams/21.png,€22.5M,€175K,1965,85,52,88,91,90,86,81,83,90,76,81,15,6,9,7,10,41,36,34,75,75,13,78,81,86,86,76,26,79,64,25,60,86,80,85.0,42.0,57.0,83.0,78.0,156616,85.0,55.0,42.0,78.0,57.0,83.0,83.0,77.0,84.0,61.0,LW LM ,85.0,55.0,42.0,78.0,57.0,83.0,83.0,77.0,84.0,61.0,77.0
67,Pepe,34,https://cdn.sofifa.org/48/18/players/120533.png,Portugal,https://cdn.sofifa.org/flags/38.png,86,86,Beşiktaş JK,https://cdn.sofifa.org/24/18/teams/327.png,€13.5M,€94K,1839,65,94,63,49,62,77,46,44,58,46,47,8,15,5,9,10,80,86,76,61,56,86,57,40,83,70,63,87,70,62,86,84,48,23,59.0,83.0,76.0,59.0,63.0,120533,59.0,75.0,83.0,63.0,76.0,59.0,59.0,61.0,58.0,72.0,CB ,59.0,75.0,83.0,63.0,76.0,59.0,59.0,61.0,58.0,72.0,61.0
68,P. Čech,35,https://cdn.sofifa.org/48/18/players/48940.png,Czech Republic,https://cdn.sofifa.org/flags/12.png,86,86,Arsenal,https://cdn.sofifa.org/24/18/teams/1.png,€10.5M,€92K,1206,40,17,49,34,22,70,19,13,12,12,19,82,87,76,83,81,19,23,51,33,11,11,23,13,84,35,21,12,44,32,13,65,53,17,,,,,,48940,,,,,,,,,,,GK ,,,,,,,,,,,
69,Y. Carrasco,23,https://cdn.sofifa.org/48/18/players/208418.png,Belgium,https://cdn.sofifa.org/flags/7.png,85,90,Atlético Madrid,https://cdn.sofifa.org/24/18/teams/240.png,€51.5M,€77K,1991,87,61,91,71,86,75,80,81,91,79,78,9,11,9,10,10,53,18,68,74,75,19,74,82,83,79,84,26,89,73,39,59,74,68,82.0,45.0,56.0,83.0,74.0,208418,82.0,56.0,45.0,74.0,56.0,83.0,83.0,79.0,84.0,60.0,RM LM ,82.0,56.0,45.0,74.0,56.0,83.0,83.0,79.0,84.0,60.0,79.0
70,R. Varane,24,https://cdn.sofifa.org/48/18/players/201535.png,France,https://cdn.sofifa.org/flags/18.png,85,92,Real Madrid CF,https://cdn.sofifa.org/24/18/teams/243.png,€46.5M,€175K,1875,77,77,58,47,77,82,36,46,57,40,54,11,11,9,5,14,83,82,80,76,53,84,43,44,81,75,52,85,81,68,86,85,56,42,64.0,83.0,79.0,62.0,69.0,201535,64.0,77.0,83.0,69.0,79.0,62.0,63.0,62.0,61.0,73.0,CB ,64.0,77.0,83.0,69.0,79.0,62.0,63.0,62.0,61.0,73.0,62.0
71,Casemiro,25,https://cdn.sofifa.org/48/18/players/200145.png,Brazil,https://cdn.sofifa.org/flags/54.png,85,89,Real Madrid CF,https://cdn.sofifa.org/24/18/teams/243.png,€42M,€195K,2138,63,87,66,57,78,86,52,59,69,59,74,13,14,16,12,12,74,86,87,84,77,83,66,66,83,82,86,86,61,85,87,85,76,53,74.0,83.0,84.0,72.0,79.0,200145,74.0,78.0,83.0,79.0,84.0,72.0,71.0,72.0,69.0,77.0,CDM ,74.0,78.0,83.0,79.0,84.0,72.0,71.0,72.0,69.0,77.0,72.0
72,L. Insigne,26,https://cdn.sofifa.org/48/18/players/198219.png,Italy,https://cdn.sofifa.org/flags/27.png,85,86,Napoli,https://cdn.sofifa.org/24/18/teams/48.png,€45M,€115K,1949,94,34,96,93,90,78,83,83,88,73,77,8,4,14,9,10,56,26,53,73,80,16,61,83,80,83,70,22,86,75,24,44,87,74,85.0,39.0,54.0,83.0,77.0,198219,85.0,55.0,39.0,77.0,54.0,83.0,84.0,76.0,85.0,60.0,LW ,85.0,55.0,39.0,77.0,54.0,83.0,84.0,76.0,85.0,60.0,76.0
73,A. Lacazette,26,https://cdn.sofifa.org/48/18/players/193301.png,France,https://cdn.sofifa.org/flags/18.png,85,88,Arsenal,https://cdn.sofifa.org/24/18/teams/1.png,€48.5M,€180K,2063,84,70,87,84,84,86,64,74,85,87,71,11,6,9,5,6,72,40,76,59,76,23,84,87,85,79,81,30,87,80,42,79,74,82,81.0,54.0,60.0,83.0,74.0,193301,81.0,59.0,54.0,74.0,60.0,83.0,80.0,83.0,82.0,62.0,ST ,81.0,59.0,54.0,74.0,60.0,83.0,80.0,83.0,82.0,62.0,83.0
74,K. Navas,30,https://cdn.sofifa.org/48/18/players/193041.png,Costa Rica,https://cdn.sofifa.org/flags/72.png,85,85,Real Madrid CF,https://cdn.sofifa.org/24/18/teams/243.png,€24.5M,€165K,1301,54,32,60,61,19,49,11,11,16,15,15,87,82,72,80,85,11,20,74,37,13,12,25,16,82,30,21,14,53,39,14,75,54,11,,,,,,193041,,,,,,,,,,,GK ,,,,,,,,,,,
75,H. Mkhitaryan,28,https://cdn.sofifa.org/48/18/players/192883.png,Armenia,https://cdn.sofifa.org/flags/3.png,85,85,Manchester United,https://cdn.sofifa.org/24/18/teams/11.png,€39M,€195K,2148,88,69,89,85,87,79,79,83,87,77,64,5,11,14,5,7,53,64,71,72,75,49,72,82,82,84,87,55,84,86,53,63,85,81,84.0,62.0,70.0,83.0,80.0,192883,84.0,70.0,62.0,80.0,70.0,83.0,83.0,79.0,84.0,73.0,LM RW RM ,84.0,70.0,62.0,80.0,70.0,83.0,83.0,79.0,84.0,73.0,79.0
76,D. Subašić,32,https://cdn.sofifa.org/48/18/players/192593.png,Croatia,https://cdn.sofifa.org/flags/10.png,85,85,AS Monaco,https://cdn.sofifa.org/24/18/teams/69.png,€22M,€46K,1305,51,31,42,37,19,65,11,24,11,10,66,84,79,79,85,87,13,20,75,26,14,15,23,15,82,24,24,13,54,32,14,80,52,13,,,,,,192593,,,,,,,,,,,GK ,,,,,,,,,,,
77,B. Leno,25,https://cdn.sofifa.org/48/18/players/192563.png,Germany,https://cdn.sofifa.org/flags/21.png,85,88,Bayer 04 Leverkusen,https://cdn.sofifa.org/24/18/teams/32.png,€34M,€61K,1247,46,28,52,44,22,62,9,9,16,9,8,85,84,74,85,83,13,22,73,33,14,8,23,7,81,37,23,18,52,43,15,68,53,10,,,,,,192563,,,,,,,,,,,GK ,,,,,,,,,,,
78,M. ter Stegen,25,https://cdn.sofifa.org/48/18/players/192448.png,Germany,https://cdn.sofifa.org/flags/21.png,85,89,FC Barcelona,https://cdn.sofifa.org/24/18/teams/241.png,€35.5M,€155K,1274,38,43,37,43,18,62,15,18,17,14,12,84,83,87,81,86,11,22,79,38,10,10,25,11,82,30,22,10,50,35,13,79,57,14,,,,,,192448,,,,,,,,,,,GK ,,,,,,,,,,,
79,K. Glik,29,https://cdn.sofifa.org/48/18/players/190547.png,Poland,https://cdn.sofifa.org/flags/37.png,85,85,AS Monaco,https://cdn.sofifa.org/24/18/teams/69.png,€30M,€60K,1612,53,86,34,55,59,79,29,35,51,27,26,10,14,5,8,10,85,87,82,59,20,85,39,24,79,63,57,83,58,72,87,90,23,17,47.0,83.0,74.0,48.0,55.0,190547,47.0,72.0,83.0,55.0,74.0,48.0,50.0,52.0,45.0,68.0,CB ,47.0,72.0,83.0,55.0,74.0,48.0,50.0,52.0,45.0,68.0,52.0
80,Jordi Alba,28,https://cdn.sofifa.org/48/18/players/189332.png,Spain,https://cdn.sofifa.org/flags/45.png,85,85,FC Barcelona,https://cdn.sofifa.org/24/18/teams/241.png,€30.5M,€215K,2206,93,75,90,86,83,75,82,77,80,73,64,13,15,13,6,13,63,83,81,70,66,81,59,77,82,79,64,83,93,90,84,60,68,60,78.0,78.0,80.0,78.0,78.0,189332,78.0,83.0,78.0,78.0,80.0,78.0,81.0,75.0,80.0,84.0,LB ,78.0,83.0,78.0,78.0,80.0,78.0,81.0,75.0,80.0,84.0,75.0
81,I. Gündoğan,26,https://cdn.sofifa.org/48/18/players/186942.png,Germany,https://cdn.sofifa.org/flags/21.png,85,87,Manchester City,https://cdn.sofifa.org/24/18/teams/10.png,€46M,€190K,2148,73,68,83,81,88,86,74,81,87,72,74,11,14,5,5,13,49,79,62,83,74,57,76,79,87,88,77,64,70,71,67,74,87,75,84.0,69.0,77.0,81.0,83.0,186942,84.0,73.0,69.0,83.0,77.0,81.0,81.0,76.0,81.0,75.0,CDM CM ,84.0,73.0,69.0,83.0,77.0,81.0,81.0,76.0,81.0,75.0,76.0
82,Azpilicueta,27,https://cdn.sofifa.org/48/18/players/184432.png,Spain,https://cdn.sofifa.org/flags/45.png,85,87,Chelsea,https://cdn.sofifa.org/24/18/teams/5.png,€37.5M,€160K,2099,78,80,75,73,79,78,78,66,69,46,58,13,9,10,6,5,76,85,76,74,60,87,66,62,86,80,68,87,79,88,88,73,68,51,72.0,83.0,82.0,70.0,76.0,184432,72.0,84.0,83.0,76.0,82.0,70.0,74.0,68.0,71.0,83.0,LB RB CB ,72.0,84.0,83.0,76.0,82.0,70.0,74.0,68.0,71.0,83.0,68.0
83,A. Di María,29,https://cdn.sofifa.org/48/18/players/183898.png,Argentina,https://cdn.sofifa.org/flags/52.png,85,85,Paris Saint-Germain,https://cdn.sofifa.org/24/18/teams/73.png,€37.5M,€145K,2115,86,73,92,79,85,82,85,78,86,74,72,10,7,11,12,11,53,38,72,79,77,37,73,82,80,83,83,56,86,78,59,60,81,77,83.0,58.0,66.0,82.0,78.0,183898,83.0,66.0,58.0,78.0,66.0,82.0,83.0,77.0,83.0,70.0,LW RW ,83.0,66.0,58.0,78.0,66.0,82.0,83.0,77.0,83.0,70.0,77.0
84,M. Pjanić,27,https://cdn.sofifa.org/48/18/players/180206.png,Bosnia Herzegovina,https://cdn.sofifa.org/flags/8.png,85,86,Juventus,https://cdn.sofifa.org/24/18/teams/45.png,€43.5M,€160K,2172,74,68,79,79,89,84,80,86,86,61,91,7,7,13,7,8,60,74,61,85,82,62,79,70,84,89,78,66,74,78,70,65,88,72,83.0,70.0,78.0,80.0,83.0,180206,83.0,75.0,70.0,83.0,78.0,80.0,81.0,74.0,80.0,77.0,CDM CM ,83.0,75.0,70.0,83.0,78.0,80.0,81.0,74.0,80.0,77.0,74.0
85,C. Marchisio,31,https://cdn.sofifa.org/48/18/players/173210.png,Italy,https://cdn.sofifa.org/flags/27.png,85,85,Juventus,https://cdn.sofifa.org/24/18/teams/45.png,€33M,€160K,2210,78,78,81,79,85,84,76,78,84,61,78,4,3,4,2,4,68,80,68,85,82,72,78,80,86,87,82,80,78,81,78,70,84,76,82.0,77.0,81.0,80.0,83.0,173210,82.0,79.0,77.0,83.0,81.0,80.0,81.0,76.0,80.0,80.0,CDM CM ,82.0,79.0,77.0,83.0,81.0,80.0,81.0,76.0,80.0,80.0,76.0
86,J. Vertonghen,30,https://cdn.sofifa.org/48/18/players/172871.png,Belgium,https://cdn.sofifa.org/flags/7.png,85,85,Tottenham Hotspur,https://cdn.sofifa.org/24/18/teams/18.png,€28.5M,€130K,2079,68,83,62,55,74,81,68,58,69,56,73,6,10,9,12,7,81,86,83,74,68,84,68,60,82,79,86,86,66,79,86,81,68,52,70.0,83.0,81.0,70.0,74.0,172871,70.0,80.0,83.0,74.0,81.0,70.0,70.0,70.0,69.0,78.0,CB ,70.0,80.0,83.0,74.0,81.0,70.0,70.0,70.0,69.0,78.0,70.0
87,B. Matuidi,30,https://cdn.sofifa.org/48/18/players/170890.png,France,https://cdn.sofifa.org/flags/18.png,85,85,Juventus,https://cdn.sofifa.org/24/18/teams/45.png,€28.5M,€145K,2172,79,85,76,79,77,82,75,65,73,65,52,8,11,5,10,14,73,85,84,79,66,83,56,68,84,84,74,81,78,94,84,78,75,72,76.0,82.0,83.0,75.0,79.0,170890,76.0,82.0,82.0,79.0,83.0,75.0,77.0,73.0,75.0,82.0,CM CDM ,76.0,82.0,82.0,79.0,83.0,75.0,77.0,73.0,75.0,82.0,73.0
88,S. Ruffier,30,https://cdn.sofifa.org/48/18/players/167628.png,France,https://cdn.sofifa.org/flags/18.png,85,85,AS Saint-Étienne,https://cdn.sofifa.org/24/18/teams/1819.png,€24.5M,€49K,1257,45,31,51,55,15,57,11,17,12,11,12,82,84,77,85,87,12,25,72,34,11,11,25,12,78,33,21,11,50,37,12,76,49,13,,,,,,167628,,,,,,,,,,,GK ,,,,,,,,,,,
89,Filipe Luís,31,https://cdn.sofifa.org/48/18/players/164169.png,Brazil,https://cdn.sofifa.org/flags/54.png,85,85,Atlético Madrid,https://cdn.sofifa.org/24/18/teams/240.png,€25M,€81K,2134,75,81,74,60,81,88,84,74,77,59,75,11,15,9,9,5,68,82,63,77,60,85,65,71,83,78,71,86,82,91,83,74,70,56,75.0,80.0,81.0,74.0,77.0,164169,75.0,83.0,80.0,77.0,81.0,74.0,78.0,72.0,75.0,83.0,LB ,75.0,83.0,80.0,77.0,81.0,74.0,78.0,72.0,75.0,83.0,72.0
90,V. Kompany,31,https://cdn.sofifa.org/48/18/players/139720.png,Belgium,https://cdn.sofifa.org/flags/7.png,85,85,Manchester City,https://cdn.sofifa.org/24/18/teams/10.png,€26M,€170K,1913,61,87,60,42,68,81,61,61,63,45,52,10,9,5,8,6,84,80,71,66,55,84,63,41,84,72,75,84,64,74,85,88,59,46,62.0,82.0,77.0,62.0,67.0,139720,62.0,76.0,82.0,67.0,77.0,62.0,63.0,63.0,61.0,74.0,CB ,62.0,76.0,82.0,67.0,77.0,62.0,63.0,63.0,61.0,74.0,63.0
91,A. Barzagli,36,https://cdn.sofifa.org/48/18/players/137186.png,Italy,https://cdn.sofifa.org/flags/27.png,85,85,Juventus,https://cdn.sofifa.org/24/18/teams/45.png,€5M,€105K,1750,64,70,51,64,65,82,40,50,64,21,31,4,2,4,2,4,72,92,85,65,39,90,60,28,80,65,54,88,76,46,90,87,62,35,58.0,83.0,76.0,55.0,63.0,137186,58.0,75.0,83.0,63.0,76.0,55.0,57.0,53.0,55.0,71.0,CB ,58.0,75.0,83.0,63.0,76.0,55.0,57.0,53.0,55.0,71.0,53.0
92,E. Bailly,23,https://cdn.sofifa.org/48/18/players/225508.png,Ivory Coast,https://cdn.sofifa.org/flags/108.png,84,89,Manchester United,https://cdn.sofifa.org/24/18/teams/11.png,€35.5M,€150K,1890,75,87,63,63,68,74,51,46,63,33,43,14,14,10,9,8,81,85,84,56,48,82,46,47,78,72,55,85,80,78,85,85,54,42,61.0,83.0,76.0,61.0,65.0,225508,61.0,77.0,83.0,65.0,76.0,61.0,63.0,60.0,61.0,75.0,CB ,61.0,77.0,83.0,65.0,76.0,61.0,63.0,60.0,61.0,75.0,60.0
93,Marco Asensio,21,https://cdn.sofifa.org/48/18/players/220834.png,Spain,https://cdn.sofifa.org/flags/45.png,84,92,Real Madrid CF,https://cdn.sofifa.org/24/18/teams/243.png,€46M,€175K,1998,79,45,78,76,86,82,79,83,83,82,76,13,9,6,12,10,50,45,57,81,87,29,62,72,78,86,84,39,77,73,42,61,83,75,82.0,50.0,62.0,81.0,78.0,220834,82.0,60.0,50.0,78.0,62.0,81.0,81.0,77.0,81.0,65.0,LW LM RM CAM ,82.0,60.0,50.0,78.0,62.0,81.0,81.0,77.0,81.0,65.0,77.0
94,Bernardo Silva,22,https://cdn.sofifa.org/48/18/players/218667.png,Portugal,https://cdn.sofifa.org/flags/38.png,84,91,Manchester City,https://cdn.sofifa.org/24/18/teams/10.png,€43.5M,€165K,2012,85,58,88,86,89,84,79,79,91,76,63,9,10,14,12,9,51,49,53,78,64,46,64,77,84,84,72,35,78,80,44,54,85,66,83.0,53.0,66.0,82.0,79.0,218667,83.0,63.0,53.0,79.0,66.0,82.0,83.0,75.0,83.0,68.0,RM ,83.0,63.0,53.0,79.0,66.0,82.0,83.0,75.0,83.0,68.0,75.0
95,A. Laporte,23,https://cdn.sofifa.org/48/18/players/212218.png,France,https://cdn.sofifa.org/flags/18.png,84,89,Athletic Club de Bilbao,https://cdn.sofifa.org/24/18/teams/448.png,€35.5M,€36K,1919,68,72,49,55,71,74,58,62,55,45,77,10,11,5,14,5,85,85,77,78,47,86,35,54,82,73,70,85,70,71,88,84,52,40,62.0,83.0,79.0,62.0,69.0,212218,62.0,78.0,83.0,69.0,79.0,62.0,64.0,64.0,61.0,75.0,CB ,62.0,78.0,83.0,69.0,79.0,62.0,64.0,64.0,61.0,75.0,64.0
